0,188
1000,184
2000,181
3001,177
4001,172
5002,169
6002,165
7003,161
8003,157
9004,153
10004,151
11004,149
12005,145
13005,142
14006,139
15006,137
16007,134
17007,132
18008,129
19008,127
20008,124
21009,122
22009,119
23011,116
24011,115
25012,113
26012,111
27013,110
28013,107
29014,106
30014,104
31014,102
32015,100
33015,100
34016,98
35016,96
36017,95
37017,94
38018,92
39018,91
40018,90
41019,89
42019,87
43020,86
44020,85
45021,84
46021,85
47022,86
48022,92
49024,98
50024,96
51024,96
52025,95
53025,94
54026,92
55026,91
56027,91
57027,90
58028,89
59028,89
60028,87
61029,87
62029,86
63030,86
64030,85
65031,84
66031,84
67032,82
68032,82
69032,82
70033,81
71033,80
72034,79
73034,79
74035,78
75035,77
76036,77
77036,76
78036,76
79037,76
80037,75
81038,75
82038,74
83039,74
84039,73
85040,73
86040,72
87041,72
88041,71
89041,71
90042,70
91042,70
92043,69
93043,69
94044,68
95044,69
96045,68
97045,67
98045,67
99046,67
100046,66
101047,66
102048,66
103049,65
104049,65
105050,64
106050,64
107051,63
108051,64
109051,63
110052,63
111052,63
112053,62
113053,62
114054,62
115054,61
116055,61
117055,60
118056,60
119057,60
120057,60
121058,60
122058,59
123059,59
124059,59
125060,58
126060,58
127060,58
128061,58
129061,57
130062,57
131062,57
132063,57
133063,56
134065,56
135065,57
136066,56
137066,56
138066,55
139067,55
140067,56
141068,56
142068,55
143069,54
144069,54
145070,54
146070,54
147070,54
148071,54
149071,54
150073,54
151073,53
152074,53
153074,54
154075,53
155075,53
156076,52
157076,52
158076,52
159077,52
160077,52
161078,52
162078,51
163079,51
164079,51
165081,51
166081,50
167081,50
168082,50
169082,49
170083,49
171083,49
172084,49
173084,49
174085,49
175085,48
176086,48
177086,48
178086,47
179087,47
180087,47
181088,47
182089,47
183090,46
184090,47
185091,46
186091,46
187091,47
188092,46
189092,46
190093,46
191093,46
192094,46
193094,46
194095,46
195095,46
196096,46
197096,46
198097,45
199098,45
200098,46
201099,45
202099,45
203100,45
204100,45
205101,45
206101,45
207101,46
208102,45
209102,45
210103,45
211103,45
212104,45
213104,45
214106,45
215106,45
216107,45
217107,45
218107,45
219108,45
220108,45
221109,45
222109,44
223110,45
224110,44
225111,45
226111,45
227111,45
228112,45
229113,45
230114,45
231114,45
232115,45
233115,45
234116,45
235116,45
236116,45
237117,45
238117,45
239118,45
240118,46
241119,45
242119,46
243120,45
244120,46
245122,46
246122,46
247122,46
248123,45
249123,46
250124,46
251124,46
252125,45
253125,46
254126,46
255126,46
256126,45
257127,46
258127,46
259128,46
260128,46
261130,46
262130,46
263131,46
264131,46
265132,46
266132,46
267132,46
268133,46
269133,46
270134,46
271134,46
272135,46
273135,46
274136,46
275136,46
276136,46
277138,47
278138,46
279139,47
280139,47
281140,47
282140,47
283141,47
284141,47
285142,47
286142,47
287142,47
288143,47
289143,47
290144,47
291144,47
292145,47
293146,47
294147,47
295147,47
296147,47
297148,47
298148,47
299149,47
300149,47
